group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,13175834.0,ns,76514
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,14675830.0,ns,77656
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,14298460.0,ns,78798
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,15716167.0,ns,79940
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,14939916.0,ns,81082
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,15231588.0,ns,82224
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,15339776.0,ns,83366
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,15766580.0,ns,84508
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,15708677.0,ns,85650
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,16003859.0,ns,86792
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,15098027.0,ns,87934
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,14806765.0,ns,89076
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,14540397.0,ns,90218
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,16790984.0,ns,91360
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,17881239.0,ns,92502
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,16586711.0,ns,93644
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,17278770.0,ns,94786
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,17001321.0,ns,95928
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,18686904.0,ns,97070
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,17826469.0,ns,98212
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,18897205.0,ns,99354
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,16752233.0,ns,100496
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,18328559.0,ns,101638
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,18320035.0,ns,102780
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,18784590.0,ns,103922
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,18210064.0,ns,105064
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,19991539.0,ns,106206
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,19942253.0,ns,107348
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,19781910.0,ns,108490
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,18741306.0,ns,109632
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,20313362.0,ns,110774
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,20958807.0,ns,111916
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,20578176.0,ns,113058
forward msg from pull (nb_writter:1 nb_readder:5),spin_lock object poll,,,,19511937.0,ns,114200
